"12462: Produsentprisindeks. Olje-/ gassutv., industri, bergverksdrift og kraftforsyning (2021=100), etter marked, næring/varegruppe, måned og statistikkvariabel"

"marked";"næring/varegruppe";"måned";"Produsentprisindeks (2021=100)"
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M06";75.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M07";72.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M08";70.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M09";70.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M10";71.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M11";66.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2014M12";66.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M01";60.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M02";63.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M03";65.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M04";65.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M05";65.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M06";67.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M07";63.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M08";56.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M09";57.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M10";56.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M11";56.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2015M12";50.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M01";42.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M02";41.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M03";42.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M04";43.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M05";46.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M06";48.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M07";48.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M08";47.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M09";45.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M10";47.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M11";49.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2016M12";58.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M01";57.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M02";60.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M03";59.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M04";55.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M05";53.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M06";50.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M07";49.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M08";49.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M09";52.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M10";57.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M11";61.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2017M12";66.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M01";70.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M02";63.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M03";64.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M04";72.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M05";73.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M06";74.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M07";75.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M08";76.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M09";79.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M10";87.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M11";79.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2018M12";72.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M01";73.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M02";74.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M03";70.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M04";70.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M05";69.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M06";60.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M07";58.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M08";58.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M09";58.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M10";56.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M11";58.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2019M12";65.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M01";63.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M02";56.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M03";43.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M04";40.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M05";36.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M06";35.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M07";34.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M08";36.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M09";39.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M10";46.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M11";54.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2020M12";56.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M01";62.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M02";73.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M03";73.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M04";70.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M05";75.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M06";86.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M07";92.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M08";101.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M09";120.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2021M10";140.7
