"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"Mai";"1989";57.4
"Mai";"1990";59.6
"Mai";"1991";61.9
"Mai";"1992";63.4
"Mai";"1993";64.9
"Mai";"1994";65.5
"Mai";"1995";67.3
"Mai";"1996";68.0
"Mai";"1997";69.8
"Mai";"1998";71.3
"Mai";"1999";73.1
"Mai";"2000";75.2
"Mai";"2001";78.4
"Mai";"2002";78.7
"Mai";"2003";80.3
"Mai";"2004";81.1
"Mai";"2005";82.4
"Mai";"2006";84.3
"Mai";"2007";84.6
"Mai";"2008";87.2
"Mai";"2009";89.9
"Mai";"2010";92.2
"Mai";"2011";93.7
"Mai";"2012";94.2
"Mai";"2013";96.0
"Mai";"2014";97.8
"Mai";"2015";99.8
"Mai";"2016";103.2
"Mai";"2017";105.4
"Mai";"2018";107.8
"Mai";"2019";110.5
"Mai";"2020";111.9
"Mai";"2021";114.9
"Mai";"2022";121.5
"Mai";"2023";129.6
"Mai";"2024";133.5
"Mai";"2025";.
"Juni";"1920";5.4
"Juni";"1921";5.1
"Juni";"1922";4.2
"Juni";"1923";4.0
"Juni";"1924";4.4
"Juni";"1925";4.6
"Juni";"1926";3.8
"Juni";"1927";3.4
"Juni";"1928";3.2
"Juni";"1929";3.1
"Juni";"1930";3.0
"Juni";"1931";2.8
"Juni";"1932";2.8
"Juni";"1933";2.7
"Juni";"1934";2.7
"Juni";"1935";2.8
"Juni";"1936";2.9
"Juni";"1937";3.1
"Juni";"1938";3.2
"Juni";"1939";3.2
"Juni";"1940";3.6
"Juni";"1941";4.4
"Juni";"1942";4.7
"Juni";"1943";4.8
"Juni";"1944";4.9
"Juni";"1945";4.9
"Juni";"1946";5.0
"Juni";"1947";5.1
"Juni";"1948";5.1
"Juni";"1949";5.1
"Juni";"1950";5.3
"Juni";"1951";6.3
"Juni";"1952";6.7
"Juni";"1953";6.9
"Juni";"1954";7.1
"Juni";"1955";7.2
"Juni";"1956";7.6
"Juni";"1957";7.7
"Juni";"1958";8.1
"Juni";"1959";8.2
"Juni";"1960";8.3
"Juni";"1961";8.4
"Juni";"1962";8.9
"Juni";"1963";9.1
"Juni";"1964";9.6
"Juni";"1965";10.1
"Juni";"1966";10.3
"Juni";"1967";10.9
"Juni";"1968";11.2
"Juni";"1969";11.6
"Juni";"1970";12.7
"Juni";"1971";13.6
"Juni";"1972";14.6
"Juni";"1973";15.7
"Juni";"1974";17.0
"Juni";"1975";19.1
"Juni";"1976";21.1
"Juni";"1977";22.9
"Juni";"1978";24.6
"Juni";"1979";25.8
"Juni";"1980";28.7
